app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
suite,respiracion,light,960x600,FAIL,0.85483,skimage,0.03441,0.81176,0.20243,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-light-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-light-960x600.png,
suite,respiracion-paused,dark,960x600,FAIL,0.8414,skimage,0.03081,0.83529,0.14234,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-paused-dark-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-paused-dark-960x600.png,
suite,respiracion-paused,light,960x600,FAIL,0.85284,skimage,0.03464,0.81176,0.20026,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-paused-light-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-paused-light-960x600.png,
suite,respiracion-preset-10min,dark,960x600,FAIL,0.84362,skimage,0.03047,0.83529,0.13864,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-preset-10min-dark-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-preset-10min-dark-960x600.png,
suite,respiracion-preset-10min,light,960x600,FAIL,0.85485,skimage,0.03453,0.81176,0.20233,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-preset-10min-light-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-preset-10min-light-960x600.png,
suite,respiracion-preset-3min,dark,960x600,FAIL,0.84378,skimage,0.03034,0.83529,0.13854,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-preset-3min-dark-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-preset-3min-dark-960x600.png,
suite,respiracion-preset-3min,light,960x600,FAIL,0.85495,skimage,0.03435,0.81176,0.20241,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-preset-3min-light-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-preset-3min-light-960x600.png,
suite,respiracion-running,dark,960x600,FAIL,0.84374,skimage,0.02966,0.83529,0.12993,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-running-dark-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-running-dark-960x600.png,
suite,respiracion-running,light,960x600,FAIL,0.85311,skimage,0.03449,0.81176,0.19033,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-running-light-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-running-light-960x600.png,
suite,rutina,dark,960x600,FAIL,0.76476,skimage,0.04459,0.86275,0.12797,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-rutina-dark-960x600.png,qa\nm_capturas_actualizadas\suite-rutina-dark-960x600.png,
suite,rutina,light,960x600,FAIL,0.78344,skimage,0.07242,0.82353,0.60183,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-rutina-light-960x600.png,qa\nm_capturas_actualizadas\suite-rutina-light-960x600.png,
